店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
全席個室居酒屋 肉汁餃子と焼鳥と手羽先 語り屋 名古屋駅前店,050-5488-7915,,愛知県,名古屋市中村区椿町,14-6,TRUNK椿町3F,https://nc7g200.gorp.jp/,True
【個室完備】名古屋熱狂酒房 ごくらく邸 名駅３丁目店,050-5486-6341,,愛知県,名古屋市中村区名駅,3-18-9,MIZUNOビル2F,https://nccc900.gorp.jp/,True
【個室】炊き肉×九州料理 居酒屋 しじみ倶楽部 名駅店,050-5485-4585,,愛知県,名古屋市中村区椿町,22-5,,https://ncch600.gorp.jp/,True
個室×鮮魚×地鶏 海乃鶏,050-5484-7872,,愛知県,名古屋市西区名駅,3-11-2,2F,https://nc9y200.gorp.jp/,True
全席個室 鮨と酒日和 ととうお名駅4丁目店,050-2018-0148,,愛知県,名古屋市中村区名駅,4-5-18,コスモス名駅westビル3F,https://nccs300.gorp.jp/,True
全席完全個室 海鮮居酒屋 大漁（たいりょう） 名駅店,050-5488-5575,,愛知県,名古屋市中村区名駅,4-11-1,コレクトマーク名駅4丁目ビル2F,https://n169644.gorp.jp/,True
地鶏と沖縄琉球しゃぶしゃぶ 個室居酒屋 くろ凪 名古屋駅前店,050-5488-2796,,愛知県,名古屋市中村区椿町,5-5,名古屋サミットホテルB1,https://ncc5400.gorp.jp/,True
全席個室 じぶんどき 名駅広小路通店,050-2018-8989,,愛知県,名古屋市中村区名駅,4-26-12,DK名駅笹島ビル6F,https://nc55600.gorp.jp/,True
完全個室 居酒屋 天串 名駅三丁目店,050-5489-0776,,愛知県,名古屋市中村区名駅,3-26-6,Third KH BLDG 8F,https://n169676.gorp.jp/,True
福キタル。 名駅四丁目店,050-5485-3386,,愛知県,名古屋市中村区名駅,4-18-15,,https://ncch200.gorp.jp/,True
完全個室多数 名古屋地鶏 金鯱酒場 名駅西口店,050-5488-2170,,愛知県,名古屋市中村区椿町,15-2,ミタニビル3F,https://n169642.gorp.jp/,True
